EMP;Serviço;Etapa;Tipo_Data;Inicio_Fim;Valor;%_Concluido;Ordem_Etapa
JARDIM DA SERRA I;GESTÃO;PROSPECÇÃO;REAL;INICIO;2022-08-04;;185
JARDIM DA SERRA I;GESTÃO;PROSPECÇÃO;REAL;TERMINO;2023-07-07;;185
JARDIM DA SERRA I;GESTÃO;LEGALIZAÇÃO PARA VENDA;REAL;INICIO;2024-04-12;;186
JARDIM DA SERRA I;GESTÃO;LEGALIZAÇÃO PARA VENDA;REAL;TERMINO;2025-12-23;;186
JARDIM DA SERRA I;GESTÃO;PULMÃO VENDA;REAL;INICIO;2025-09-01;;187
JARDIM DA SERRA I;GESTÃO;PULMÃO VENDA;REAL;TERMINO;2025-12-24;;187
JARDIM DA SERRA I;GESTÃO;PL.LIMP;REAL;INICIO;2024-04-11;;188
JARDIM DA SERRA I;GESTÃO;PL.LIMP;REAL;TERMINO;2024-07-09;;188
JARDIM DA SERRA I;GESTÃO;LEG.LIMP;REAL;INICIO;2023-12-22;;189
JARDIM DA SERRA I;GESTÃO;LEG.LIMP;REAL;TERMINO;2024-07-10;;189
JARDIM DA SERRA I;GESTÃO;ENG. LIMP.;REAL;INICIO;2025-01-06;;190
JARDIM DA SERRA I;GESTÃO;ENG. LIMP.;REAL;TERMINO;2025-04-09;;190
JARDIM DA SERRA I;GESTÃO;EXECUÇÃO LIMP.;REAL;INICIO;2024-12-23;;191
JARDIM DA SERRA I;GESTÃO;EXECUÇÃO LIMP.;REAL;TERMINO;2025-01-20;;191
JARDIM DA SERRA I;GESTÃO;PL.TER.;REAL;INICIO;2024-05-28;;192
JARDIM DA SERRA I;GESTÃO;PL.TER.;REAL;TERMINO;2024-12-16;;192
JARDIM DA SERRA I;GESTÃO;LEG.TER.;REAL;INICIO;2024-12-17;;193
JARDIM DA SERRA I;GESTÃO;LEG.TER.;REAL;TERMINO;2025-02-24;;193
JARDIM DA SERRA I;GESTÃO;ENG. TER.;REAL;INICIO;2025-01-21;;194
JARDIM DA SERRA I;GESTÃO;ENG. TER.;REAL;TERMINO;2025-10-28;;194
JARDIM DA SERRA I;GESTÃO;EXECUÇÃO TER.;REAL;INICIO;2025-10-29;;195
JARDIM DA SERRA I;GESTÃO;EXECUÇÃO TER.;REAL;TERMINO;2026-05-28;;195
JARDIM DA SERRA I;GESTÃO;PL.INFRA;REAL;INICIO;2025-02-11;;196
JARDIM DA SERRA I;GESTÃO;PL.INFRA;REAL;TERMINO;2025-02-28;;196
JARDIM DA SERRA I;GESTÃO;LEG.INFRA;REAL;INICIO;2024-09-23;;197
