UGB,EMP,TIPO_LOTES,PULVENDA.DEM.MIN,Valor,Etapa,Tipo_Data,Inicio_Fim,Ordem_Etapa
CA,NOVO EMP CA,Condomínio,2028-06-01,2025-01-31,PROSPEC,PREV,INICIO,1
CA,NOVO EMP CA,Condomínio,2028-06-01,2025-05-31,PROSPEC,PREV,TERMINO,1
CA,NOVO EMP CA,Condomínio,2028-06-01,2028-05-30,PROSPEC,PREV,TERMINO,1
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-11-30,LEGVENDA,PREV,INICIO,2
CA,NOVO EMP CA,Condomínio,2028-06-01,2028-05-31,PULVENDA,PREV,INICIO,3
CA,NOVO EMP CA,Condomínio,2028-06-01,2028-05-31,PULVENDA,PREV,TERMINO,3
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-08-07,PL.LIMP,PREV,INICIO,4
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-09-25,PL.LIMP,PREV,TERMINO,4
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-09-28,LEG.LIMP,PREV,INICIO,5
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-12-21,LEG.LIMP,PREV,TERMINO,5
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-12-22,ENG.LIMP,PREV,INICIO,6
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-03-16,ENG.LIMP,PREV,TERMINO,6
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-05-23,EXECLIMP,PREV,INICIO,7
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-06-23,EXECLIMP,PREV,TERMINO,7
CA,NOVO EMP CA,Condomínio,2028-06-01,2026-11-30,PL.TER,PREV,INICIO,8
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-01-04,PL.TER,PREV,TERMINO,8
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-01-05,LEG.TER,PREV,INICIO,9
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-03-30,LEG.TER,PREV,TERMINO,9
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-06-24,ENG. TER,PREV,INICIO,10
CA,NOVO EMP CA,Condomínio,2028-06-01,2027-11-12,ENG. TER,PREV,TERMINO,10
